Extension,Category,Description,HexSignature,Offset,RiskLevel
ext_736,Image,Custom Enterprise Extended Type Variation Signature Profile 736,20 2D 3A 47 54,0,Medium
ext_737,Audio,Custom Enterprise Extended Type Variation Signature Profile 737,27 34 41 4E 5B 68,0,High
ext_738,Video,Custom Enterprise Extended Type Variation Signature Profile 738,2E 3B 48 55 62 6F 7C,0,Low
ext_739,Document,Custom Enterprise Extended Type Variation Signature Profile 739,35 42 4F 5C 69 76 83 90,0,Medium
ext_740,Archive,Custom Enterprise Extended Type Variation Signature Profile 740,3C 49 56 63,257,High
ext_741,System,Custom Enterprise Extended Type Variation Signature Profile 741,43 50 5D 6A 77,0,Low
ext_742,Database,Custom Enterprise Extended Type Variation Signature Profile 742,4A 57 64 71 7E 8B,0,Medium
ext_743,Network,Custom Enterprise Extended Type Variation Signature Profile 743,51 5E 6B 78 85 92 9F,0,High
ext_744,Font,Custom Enterprise Extended Type Variation Signature Profile 744,58 65 72 7F 8C 99 A6 B3,0,Low
ext_745,Security,Custom Enterprise Extended Type Variation Signature Profile 745,5F 6C 79 86,0,Medium
ext_746,Script,Custom Enterprise Extended Type Variation Signature Profile 746,66 73 80 8D 9A,0,High
ext_747,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 747,6D 7A 87 94 A1 AE,0,Low
ext_748,Web,Custom Enterprise Extended Type Variation Signature Profile 748,74 81 8E 9B A8 B5 C2,0,Medium
ext_749,Data,Custom Enterprise Extended Type Variation Signature Profile 749,7B 88 95 A2 AF BC C9 D6,0,High
ext_750,Executable,Custom Enterprise Extended Type Variation Signature Profile 750,82 8F 9C A9,0,Low
ext_751,Image,Custom Enterprise Extended Type Variation Signature Profile 751,89 96 A3 B0 BD,0,Medium
ext_752,Audio,Custom Enterprise Extended Type Variation Signature Profile 752,90 9D AA B7 C4 D1,0,High
ext_753,Video,Custom Enterprise Extended Type Variation Signature Profile 753,97 A4 B1 BE CB D8 E5,0,Low
ext_754,Document,Custom Enterprise Extended Type Variation Signature Profile 754,9E AB B8 C5 D2 DF EC F9,0,Medium
ext_755,Archive,Custom Enterprise Extended Type Variation Signature Profile 755,A5 B2 BF CC,257,High
ext_756,System,Custom Enterprise Extended Type Variation Signature Profile 756,AC B9 C6 D3 E0,0,Low
ext_757,Database,Custom Enterprise Extended Type Variation Signature Profile 757,B3 C0 CD DA E7 F4,0,Medium
ext_758,Network,Custom Enterprise Extended Type Variation Signature Profile 758,BA C7 D4 E1 EE FB 08,0,High
ext_759,Font,Custom Enterprise Extended Type Variation Signature Profile 759,C1 CE DB E8 F5 02 0F 1C,0,Low
ext_760,Security,Custom Enterprise Extended Type Variation Signature Profile 760,C8 D5 E2 EF,0,Medium
ext_761,Script,Custom Enterprise Extended Type Variation Signature Profile 761,CF DC E9 F6 03,0,High
ext_762,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 762,D6 E3 F0 FD 0A 17,0,Low
ext_763,Web,Custom Enterprise Extended Type Variation Signature Profile 763,DD EA F7 04 11 1E 2B,0,Medium
ext_764,Data,Custom Enterprise Extended Type Variation Signature Profile 764,E4 F1 FE 0B 18 25 32 3F,0,High
ext_765,Executable,Custom Enterprise Extended Type Variation Signature Profile 765,EB F8 05 12,0,Low
ext_766,Image,Custom Enterprise Extended Type Variation Signature Profile 766,F2 FF 0C 19 26,0,Medium
ext_767,Audio,Custom Enterprise Extended Type Variation Signature Profile 767,F9 06 13 20 2D 3A,0,High
ext_768,Video,Custom Enterprise Extended Type Variation Signature Profile 768,00 0D 1A 27 34 41 4E,0,Low
ext_769,Document,Custom Enterprise Extended Type Variation Signature Profile 769,07 14 21 2E 3B 48 55 62,0,Medium
ext_770,Archive,Custom Enterprise Extended Type Variation Signature Profile 770,0E 1B 28 35,257,High
ext_771,System,Custom Enterprise Extended Type Variation Signature Profile 771,15 22 2F 3C 49,0,Low
ext_772,Database,Custom Enterprise Extended Type Variation Signature Profile 772,1C 29 36 43 50 5D,0,Medium
ext_773,Network,Custom Enterprise Extended Type Variation Signature Profile 773,23 30 3D 4A 57 64 71,0,High
ext_774,Font,Custom Enterprise Extended Type Variation Signature Profile 774,2A 37 44 51 5E 6B 78 85,0,Low
ext_775,Security,Custom Enterprise Extended Type Variation Signature Profile 775,31 3E 4B 58,0,Medium
ext_776,Script,Custom Enterprise Extended Type Variation Signature Profile 776,38 45 52 5F 6C,0,High
ext_777,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 777,3F 4C 59 66 73 80,32769,Low
ext_778,Web,Custom Enterprise Extended Type Variation Signature Profile 778,46 53 60 6D 7A 87 94,0,Medium
ext_779,Data,Custom Enterprise Extended Type Variation Signature Profile 779,4D 5A 67 74 81 8E 9B A8,0,High
ext_780,Executable,Custom Enterprise Extended Type Variation Signature Profile 780,54 61 6E 7B,0,Low
ext_781,Image,Custom Enterprise Extended Type Variation Signature Profile 781,5B 68 75 82 8F,0,Medium
ext_782,Audio,Custom Enterprise Extended Type Variation Signature Profile 782,62 6F 7C 89 96 A3,0,High
ext_783,Video,Custom Enterprise Extended Type Variation Signature Profile 783,69 76 83 90 9D AA B7,0,Low
ext_784,Document,Custom Enterprise Extended Type Variation Signature Profile 784,70 7D 8A 97 A4 B1 BE CB,0,Medium
ext_785,Archive,Custom Enterprise Extended Type Variation Signature Profile 785,77 84 91 9E,257,High
ext_786,System,Custom Enterprise Extended Type Variation Signature Profile 786,7E 8B 98 A5 B2,0,Low
ext_787,Database,Custom Enterprise Extended Type Variation Signature Profile 787,85 92 9F AC B9 C6,0,Medium
ext_788,Network,Custom Enterprise Extended Type Variation Signature Profile 788,8C 99 A6 B3 C0 CD DA,0,High
ext_789,Font,Custom Enterprise Extended Type Variation Signature Profile 789,93 A0 AD BA C7 D4 E1 EE,0,Low
ext_790,Security,Custom Enterprise Extended Type Variation Signature Profile 790,9A A7 B4 C1,0,Medium
ext_791,Script,Custom Enterprise Extended Type Variation Signature Profile 791,A1 AE BB C8 D5,0,High
ext_792,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 792,A8 B5 C2 CF DC E9,0,Low
ext_793,Web,Custom Enterprise Extended Type Variation Signature Profile 793,AF BC C9 D6 E3 F0 FD,0,Medium
ext_794,Data,Custom Enterprise Extended Type Variation Signature Profile 794,B6 C3 D0 DD EA F7 04 11,0,High
ext_795,Executable,Custom Enterprise Extended Type Variation Signature Profile 795,BD CA D7 E4,0,Low
ext_796,Image,Custom Enterprise Extended Type Variation Signature Profile 796,C4 D1 DE EB F8,0,Medium
ext_797,Audio,Custom Enterprise Extended Type Variation Signature Profile 797,CB D8 E5 F2 FF 0C,0,High
ext_798,Video,Custom Enterprise Extended Type Variation Signature Profile 798,D2 DF EC F9 06 13 20,0,Low
ext_799,Document,Custom Enterprise Extended Type Variation Signature Profile 799,D9 E6 F3 00 0D 1A 27 34,0,Medium
ext_800,Archive,Custom Enterprise Extended Type Variation Signature Profile 800,E0 ED FA 07,257,High
ext_801,System,Custom Enterprise Extended Type Variation Signature Profile 801,E7 F4 01 0E 1B,0,Low
ext_802,Database,Custom Enterprise Extended Type Variation Signature Profile 802,EE FB 08 15 22 2F,0,Medium
ext_803,Network,Custom Enterprise Extended Type Variation Signature Profile 803,F5 02 0F 1C 29 36 43,0,High
ext_804,Font,Custom Enterprise Extended Type Variation Signature Profile 804,FC 09 16 23 30 3D 4A 57,0,Low
ext_805,Security,Custom Enterprise Extended Type Variation Signature Profile 805,03 10 1D 2A,0,Medium
ext_806,Script,Custom Enterprise Extended Type Variation Signature Profile 806,0A 17 24 31 3E,0,High
ext_807,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 807,11 1E 2B 38 45 52,0,Low
ext_808,Web,Custom Enterprise Extended Type Variation Signature Profile 808,18 25 32 3F 4C 59 66,0,Medium
ext_809,Data,Custom Enterprise Extended Type Variation Signature Profile 809,1F 2C 39 46 53 60 6D 7A,0,High
ext_810,Executable,Custom Enterprise Extended Type Variation Signature Profile 810,26 33 40 4D,0,Low
ext_811,Image,Custom Enterprise Extended Type Variation Signature Profile 811,2D 3A 47 54 61,0,Medium
ext_812,Audio,Custom Enterprise Extended Type Variation Signature Profile 812,34 41 4E 5B 68 75,0,High
ext_813,Video,Custom Enterprise Extended Type Variation Signature Profile 813,3B 48 55 62 6F 7C 89,0,Low
ext_814,Document,Custom Enterprise Extended Type Variation Signature Profile 814,42 4F 5C 69 76 83 90 9D,0,Medium
ext_815,Archive,Custom Enterprise Extended Type Variation Signature Profile 815,49 56 63 70,257,High
ext_816,System,Custom Enterprise Extended Type Variation Signature Profile 816,50 5D 6A 77 84,0,Low
ext_817,Database,Custom Enterprise Extended Type Variation Signature Profile 817,57 64 71 7E 8B 98,0,Medium
ext_818,Network,Custom Enterprise Extended Type Variation Signature Profile 818,5E 6B 78 85 92 9F AC,0,High
ext_819,Font,Custom Enterprise Extended Type Variation Signature Profile 819,65 72 7F 8C 99 A6 B3 C0,0,Low
ext_820,Security,Custom Enterprise Extended Type Variation Signature Profile 820,6C 79 86 93,0,Medium
ext_821,Script,Custom Enterprise Extended Type Variation Signature Profile 821,73 80 8D 9A A7,0,High
ext_822,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 822,7A 87 94 A1 AE BB,0,Low
ext_823,Web,Custom Enterprise Extended Type Variation Signature Profile 823,81 8E 9B A8 B5 C2 CF,0,Medium
ext_824,Data,Custom Enterprise Extended Type Variation Signature Profile 824,88 95 A2 AF BC C9 D6 E3,0,High
ext_825,Executable,Custom Enterprise Extended Type Variation Signature Profile 825,8F 9C A9 B6,0,Low
ext_826,Image,Custom Enterprise Extended Type Variation Signature Profile 826,96 A3 B0 BD CA,0,Medium
ext_827,Audio,Custom Enterprise Extended Type Variation Signature Profile 827,9D AA B7 C4 D1 DE,0,High
ext_828,Video,Custom Enterprise Extended Type Variation Signature Profile 828,A4 B1 BE CB D8 E5 F2,0,Low
ext_829,Document,Custom Enterprise Extended Type Variation Signature Profile 829,AB B8 C5 D2 DF EC F9 06,0,Medium
ext_830,Archive,Custom Enterprise Extended Type Variation Signature Profile 830,B2 BF CC D9,257,High
ext_831,System,Custom Enterprise Extended Type Variation Signature Profile 831,B9 C6 D3 E0 ED,0,Low
ext_832,Database,Custom Enterprise Extended Type Variation Signature Profile 832,C0 CD DA E7 F4 01,0,Medium
ext_833,Network,Custom Enterprise Extended Type Variation Signature Profile 833,C7 D4 E1 EE FB 08 15,0,High
ext_834,Font,Custom Enterprise Extended Type Variation Signature Profile 834,CE DB E8 F5 02 0F 1C 29,0,Low
ext_835,Security,Custom Enterprise Extended Type Variation Signature Profile 835,D5 E2 EF FC,0,Medium
ext_836,Script,Custom Enterprise Extended Type Variation Signature Profile 836,DC E9 F6 03 10,0,High
ext_837,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 837,E3 F0 FD 0A 17 24,0,Low
ext_838,Web,Custom Enterprise Extended Type Variation Signature Profile 838,EA F7 04 11 1E 2B 38,0,Medium
ext_839,Data,Custom Enterprise Extended Type Variation Signature Profile 839,F1 FE 0B 18 25 32 3F 4C,0,High
ext_840,Executable,Custom Enterprise Extended Type Variation Signature Profile 840,F8 05 12 1F,0,Low
ext_841,Image,Custom Enterprise Extended Type Variation Signature Profile 841,FF 0C 19 26 33,0,Medium
ext_842,Audio,Custom Enterprise Extended Type Variation Signature Profile 842,06 13 20 2D 3A 47,0,High
ext_843,Video,Custom Enterprise Extended Type Variation Signature Profile 843,0D 1A 27 34 41 4E 5B,0,Low
ext_844,Document,Custom Enterprise Extended Type Variation Signature Profile 844,14 21 2E 3B 48 55 62 6F,0,Medium
ext_845,Archive,Custom Enterprise Extended Type Variation Signature Profile 845,1B 28 35 42,257,High
ext_846,System,Custom Enterprise Extended Type Variation Signature Profile 846,22 2F 3C 49 56,0,Low
ext_847,Database,Custom Enterprise Extended Type Variation Signature Profile 847,29 36 43 50 5D 6A,0,Medium
ext_848,Network,Custom Enterprise Extended Type Variation Signature Profile 848,30 3D 4A 57 64 71 7E,0,High
ext_849,Font,Custom Enterprise Extended Type Variation Signature Profile 849,37 44 51 5E 6B 78 85 92,0,Low
ext_850,Security,Custom Enterprise Extended Type Variation Signature Profile 850,3E 4B 58 65,0,Medium
ext_851,Script,Custom Enterprise Extended Type Variation Signature Profile 851,45 52 5F 6C 79,0,High
ext_852,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 852,4C 59 66 73 80 8D,0,Low
ext_853,Web,Custom Enterprise Extended Type Variation Signature Profile 853,53 60 6D 7A 87 94 A1,0,Medium
ext_854,Data,Custom Enterprise Extended Type Variation Signature Profile 854,5A 67 74 81 8E 9B A8 B5,0,High
ext_855,Executable,Custom Enterprise Extended Type Variation Signature Profile 855,61 6E 7B 88,0,Low
ext_856,Image,Custom Enterprise Extended Type Variation Signature Profile 856,68 75 82 8F 9C,0,Medium
ext_857,Audio,Custom Enterprise Extended Type Variation Signature Profile 857,6F 7C 89 96 A3 B0,0,High
ext_858,Video,Custom Enterprise Extended Type Variation Signature Profile 858,76 83 90 9D AA B7 C4,0,Low
ext_859,Document,Custom Enterprise Extended Type Variation Signature Profile 859,7D 8A 97 A4 B1 BE CB D8,0,Medium
ext_860,Archive,Custom Enterprise Extended Type Variation Signature Profile 860,84 91 9E AB,257,High
ext_861,System,Custom Enterprise Extended Type Variation Signature Profile 861,8B 98 A5 B2 BF,0,Low
ext_862,Database,Custom Enterprise Extended Type Variation Signature Profile 862,92 9F AC B9 C6 D3,0,Medium
ext_863,Network,Custom Enterprise Extended Type Variation Signature Profile 863,99 A6 B3 C0 CD DA E7,0,High
ext_864,Font,Custom Enterprise Extended Type Variation Signature Profile 864,A0 AD BA C7 D4 E1 EE FB,0,Low
ext_865,Security,Custom Enterprise Extended Type Variation Signature Profile 865,A7 B4 C1 CE,0,Medium
ext_866,Script,Custom Enterprise Extended Type Variation Signature Profile 866,AE BB C8 D5 E2,0,High
ext_867,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 867,B5 C2 CF DC E9 F6,0,Low
ext_868,Web,Custom Enterprise Extended Type Variation Signature Profile 868,BC C9 D6 E3 F0 FD 0A,0,Medium
ext_869,Data,Custom Enterprise Extended Type Variation Signature Profile 869,C3 D0 DD EA F7 04 11 1E,0,High
ext_870,Executable,Custom Enterprise Extended Type Variation Signature Profile 870,CA D7 E4 F1,0,Low
ext_871,Image,Custom Enterprise Extended Type Variation Signature Profile 871,D1 DE EB F8 05,0,Medium
ext_872,Audio,Custom Enterprise Extended Type Variation Signature Profile 872,D8 E5 F2 FF 0C 19,0,High
ext_873,Video,Custom Enterprise Extended Type Variation Signature Profile 873,DF EC F9 06 13 20 2D,0,Low
ext_874,Document,Custom Enterprise Extended Type Variation Signature Profile 874,E6 F3 00 0D 1A 27 34 41,0,Medium
ext_875,Archive,Custom Enterprise Extended Type Variation Signature Profile 875,ED FA 07 14,257,High
ext_876,System,Custom Enterprise Extended Type Variation Signature Profile 876,F4 01 0E 1B 28,0,Low
ext_877,Database,Custom Enterprise Extended Type Variation Signature Profile 877,FB 08 15 22 2F 3C,0,Medium
ext_878,Network,Custom Enterprise Extended Type Variation Signature Profile 878,02 0F 1C 29 36 43 50,0,High
ext_879,Font,Custom Enterprise Extended Type Variation Signature Profile 879,09 16 23 30 3D 4A 57 64,0,Low
ext_880,Security,Custom Enterprise Extended Type Variation Signature Profile 880,10 1D 2A 37,0,Medium
ext_881,Script,Custom Enterprise Extended Type Variation Signature Profile 881,17 24 31 3E 4B,0,High
ext_882,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 882,1E 2B 38 45 52 5F,32769,Low
ext_883,Web,Custom Enterprise Extended Type Variation Signature Profile 883,25 32 3F 4C 59 66 73,0,Medium
ext_884,Data,Custom Enterprise Extended Type Variation Signature Profile 884,2C 39 46 53 60 6D 7A 87,0,High
ext_885,Executable,Custom Enterprise Extended Type Variation Signature Profile 885,33 40 4D 5A,0,Low
ext_886,Image,Custom Enterprise Extended Type Variation Signature Profile 886,3A 47 54 61 6E,0,Medium
ext_887,Audio,Custom Enterprise Extended Type Variation Signature Profile 887,41 4E 5B 68 75 82,0,High
ext_888,Video,Custom Enterprise Extended Type Variation Signature Profile 888,48 55 62 6F 7C 89 96,0,Low
ext_889,Document,Custom Enterprise Extended Type Variation Signature Profile 889,4F 5C 69 76 83 90 9D AA,0,Medium
ext_890,Archive,Custom Enterprise Extended Type Variation Signature Profile 890,56 63 70 7D,257,High
ext_891,System,Custom Enterprise Extended Type Variation Signature Profile 891,5D 6A 77 84 91,0,Low
ext_892,Database,Custom Enterprise Extended Type Variation Signature Profile 892,64 71 7E 8B 98 A5,0,Medium
ext_893,Network,Custom Enterprise Extended Type Variation Signature Profile 893,6B 78 85 92 9F AC B9,0,High
ext_894,Font,Custom Enterprise Extended Type Variation Signature Profile 894,72 7F 8C 99 A6 B3 C0 CD,0,Low
ext_895,Security,Custom Enterprise Extended Type Variation Signature Profile 895,79 86 93 A0,0,Medium
ext_896,Script,Custom Enterprise Extended Type Variation Signature Profile 896,80 8D 9A A7 B4,0,High
ext_897,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 897,87 94 A1 AE BB C8,0,Low
ext_898,Web,Custom Enterprise Extended Type Variation Signature Profile 898,8E 9B A8 B5 C2 CF DC,0,Medium
ext_899,Data,Custom Enterprise Extended Type Variation Signature Profile 899,95 A2 AF BC C9 D6 E3 F0,0,High
ext_900,Executable,Custom Enterprise Extended Type Variation Signature Profile 900,9C A9 B6 C3,0,Low
ext_901,Image,Custom Enterprise Extended Type Variation Signature Profile 901,A3 B0 BD CA D7,0,Medium
ext_902,Audio,Custom Enterprise Extended Type Variation Signature Profile 902,AA B7 C4 D1 DE EB,0,High
ext_903,Video,Custom Enterprise Extended Type Variation Signature Profile 903,B1 BE CB D8 E5 F2 FF,0,Low
ext_904,Document,Custom Enterprise Extended Type Variation Signature Profile 904,B8 C5 D2 DF EC F9 06 13,0,Medium
ext_905,Archive,Custom Enterprise Extended Type Variation Signature Profile 905,BF CC D9 E6,257,High
ext_906,System,Custom Enterprise Extended Type Variation Signature Profile 906,C6 D3 E0 ED FA,0,Low
ext_907,Database,Custom Enterprise Extended Type Variation Signature Profile 907,CD DA E7 F4 01 0E,0,Medium
ext_908,Network,Custom Enterprise Extended Type Variation Signature Profile 908,D4 E1 EE FB 08 15 22,0,High
ext_909,Font,Custom Enterprise Extended Type Variation Signature Profile 909,DB E8 F5 02 0F 1C 29 36,0,Low
ext_910,Security,Custom Enterprise Extended Type Variation Signature Profile 910,E2 EF FC 09,0,Medium
ext_911,Script,Custom Enterprise Extended Type Variation Signature Profile 911,E9 F6 03 10 1D,0,High
ext_912,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 912,F0 FD 0A 17 24 31,0,Low
ext_913,Web,Custom Enterprise Extended Type Variation Signature Profile 913,F7 04 11 1E 2B 38 45,0,Medium
ext_914,Data,Custom Enterprise Extended Type Variation Signature Profile 914,FE 0B 18 25 32 3F 4C 59,0,High
ext_915,Executable,Custom Enterprise Extended Type Variation Signature Profile 915,05 12 1F 2C,0,Low
ext_916,Image,Custom Enterprise Extended Type Variation Signature Profile 916,0C 19 26 33 40,0,Medium
ext_917,Audio,Custom Enterprise Extended Type Variation Signature Profile 917,13 20 2D 3A 47 54,0,High
ext_918,Video,Custom Enterprise Extended Type Variation Signature Profile 918,1A 27 34 41 4E 5B 68,0,Low
ext_919,Document,Custom Enterprise Extended Type Variation Signature Profile 919,21 2E 3B 48 55 62 6F 7C,0,Medium
ext_920,Archive,Custom Enterprise Extended Type Variation Signature Profile 920,28 35 42 4F,257,High
ext_921,System,Custom Enterprise Extended Type Variation Signature Profile 921,2F 3C 49 56 63,0,Low
ext_922,Database,Custom Enterprise Extended Type Variation Signature Profile 922,36 43 50 5D 6A 77,0,Medium
ext_923,Network,Custom Enterprise Extended Type Variation Signature Profile 923,3D 4A 57 64 71 7E 8B,0,High
ext_924,Font,Custom Enterprise Extended Type Variation Signature Profile 924,44 51 5E 6B 78 85 92 9F,0,Low
ext_925,Security,Custom Enterprise Extended Type Variation Signature Profile 925,4B 58 65 72,0,Medium
ext_926,Script,Custom Enterprise Extended Type Variation Signature Profile 926,52 5F 6C 79 86,0,High
ext_927,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 927,59 66 73 80 8D 9A,0,Low
ext_928,Web,Custom Enterprise Extended Type Variation Signature Profile 928,60 6D 7A 87 94 A1 AE,0,Medium
ext_929,Data,Custom Enterprise Extended Type Variation Signature Profile 929,67 74 81 8E 9B A8 B5 C2,0,High
ext_930,Executable,Custom Enterprise Extended Type Variation Signature Profile 930,6E 7B 88 95,0,Low
ext_931,Image,Custom Enterprise Extended Type Variation Signature Profile 931,75 82 8F 9C A9,0,Medium
ext_932,Audio,Custom Enterprise Extended Type Variation Signature Profile 932,7C 89 96 A3 B0 BD,0,High
ext_933,Video,Custom Enterprise Extended Type Variation Signature Profile 933,83 90 9D AA B7 C4 D1,0,Low
ext_934,Document,Custom Enterprise Extended Type Variation Signature Profile 934,8A 97 A4 B1 BE CB D8 E5,0,Medium
ext_935,Archive,Custom Enterprise Extended Type Variation Signature Profile 935,91 9E AB B8,257,High
ext_936,System,Custom Enterprise Extended Type Variation Signature Profile 936,98 A5 B2 BF CC,0,Low
ext_937,Database,Custom Enterprise Extended Type Variation Signature Profile 937,9F AC B9 C6 D3 E0,0,Medium
ext_938,Network,Custom Enterprise Extended Type Variation Signature Profile 938,A6 B3 C0 CD DA E7 F4,0,High
ext_939,Font,Custom Enterprise Extended Type Variation Signature Profile 939,AD BA C7 D4 E1 EE FB 08,0,Low
ext_940,Security,Custom Enterprise Extended Type Variation Signature Profile 940,B4 C1 CE DB,0,Medium
ext_941,Script,Custom Enterprise Extended Type Variation Signature Profile 941,BB C8 D5 E2 EF,0,High
ext_942,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 942,C2 CF DC E9 F6 03,0,Low
ext_943,Web,Custom Enterprise Extended Type Variation Signature Profile 943,C9 D6 E3 F0 FD 0A 17,0,Medium
ext_944,Data,Custom Enterprise Extended Type Variation Signature Profile 944,D0 DD EA F7 04 11 1E 2B,0,High
ext_945,Executable,Custom Enterprise Extended Type Variation Signature Profile 945,D7 E4 F1 FE,0,Low
ext_946,Image,Custom Enterprise Extended Type Variation Signature Profile 946,DE EB F8 05 12,0,Medium
ext_947,Audio,Custom Enterprise Extended Type Variation Signature Profile 947,E5 F2 FF 0C 19 26,0,High
ext_948,Video,Custom Enterprise Extended Type Variation Signature Profile 948,EC F9 06 13 20 2D 3A,0,Low
ext_949,Document,Custom Enterprise Extended Type Variation Signature Profile 949,F3 00 0D 1A 27 34 41 4E,0,Medium
